anime_id,title,title_english,image_url,type,source,rating,score,premiered,studio,genre
9513,Beelzebub,Beelzebub,https://myanimelist.cdn-dena.com/images/anime/3/28013.jpg,TV,Manga,PG-13 - Teens 13 or older,8.02,Winter 2011,Pierrot Plus,"Action, Comedy, Demons, Supernatural, School, Shounen"
5835,Hanasakeru Seishounen,,https://myanimelist.cdn-dena.com/images/anime/6/22695.jpg,TV,Manga,PG-13 - Teens 13 or older,7.87,Spring 2009,Studio Pierrot,"Drama, Romance, Shoujo"
9863,SKET Dance,SKET Dance,https://myanimelist.cdn-dena.com/images/anime/9/73974.jpg,TV,Manga,PG-13 - Teens 13 or older,8.33,Spring 2011,Tatsunoko Production,"Comedy, School, Shounen"
7817,B-gata H-kei,Yamada's First Time: B Gata H Kei,https://myanimelist.cdn-dena.com/images/anime/4/75227.jpg,TV,4-koma manga,R+ - Mild Nudity,7.1,Spring 2010,Hal Film Maker/TYO Animations,"Comedy, Romance, Ecchi, School, Seinen"
966,Crayon Shin-chan,Shin Chan,https://myanimelist.cdn-dena.com/images/anime/10/59897.jpg,TV,Manga,PG - Children,7.73,Spring 1992,Shin-Ei Animation,"Slice of Life, Comedy, Ecchi, School, Seinen"
120,Fruits Basket,Fruits Basket,https://myanimelist.cdn-dena.com/images/anime/4/75204.jpg,TV,Manga,PG-13 - Teens 13 or older,7.77,Summer 2001,Studio Deen,"Slice of Life, Comedy, Drama, Romance, Fantasy, Shoujo"
957,Saiunkoku Monogatari,The Story of Saiunkoku,https://myanimelist.cdn-dena.com/images/anime/1/957.jpg,TV,Light novel,PG-13 - Teens 13 or older,8.04,Spring 2006,Madhouse,"Adventure, Fantasy, Comedy, Romance, Historical, Drama"
21,One Piece,One Piece,https://myanimelist.cdn-dena.com/images/anime/6/73245.jpg,TV,Manga,PG-13 - Teens 13 or older,8.54,Fall 1999,Toei Animation,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen"
1974,Glass no Kamen (2005),Glass Mask,https://myanimelist.cdn-dena.com/images/anime/1/2043.jpg,TV,Manga,G - All Ages,8.18,Spring 2005,Tokyo Movie Shinsha,"Drama, Shoujo"
857,Air Gear,Air Gear,https://myanimelist.cdn-dena.com/images/anime/11/18227.jpg,TV,Manga,R+ - Mild Nudity,7.64,Spring 2006,Toei Animation,"Action, Comedy, Ecchi, Shounen, Sports"
1914,Saiunkoku Monogatari 2nd Season,Tales of Saiunkoku,https://myanimelist.cdn-dena.com/images/anime/5/73277.jpg,TV,Light novel,PG-13 - Teens 13 or older,8.16,Spring 2007,Madhouse,"Adventure, Comedy, Drama, Fantasy, Historical, Romance"
249,InuYasha,InuYasha,https://myanimelist.cdn-dena.com/images/anime/8/20483.jpg,TV,Manga,PG-13 - Teens 13 or older,7.9,Fall 2000,Sunrise,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Romance, Fantasy, Shounen"
6645,Chu-Bra!!,Chu-Bra,https://myanimelist.cdn-dena.com/images/anime/1130/91352.jpg,TV,Manga,PG-13 - Teens 13 or older,6.3,Winter 2010,Zexcs,"Ecchi, Comedy, School, Seinen"
5690,Nodame Cantabile Finale,,https://myanimelist.cdn-dena.com/images/anime/4/20712.jpg,TV,Manga,PG-13 - Teens 13 or older,8.34,Winter 2010,J.C.Staff,"Comedy, Josei, Music, Romance"
1571,Ghost Hunt,Ghost Hunt,https://myanimelist.cdn-dena.com/images/anime/11/73908.jpg,TV,Novel,PG-13 - Teens 13 or older,7.92,Fall 2006,J.C.Staff,"Comedy, Horror, Mystery, Shoujo, Supernatural"
11759,Accel World,Accel World,https://myanimelist.cdn-dena.com/images/anime/8/38155.jpg,TV,Light novel,PG-13 - Teens 13 or older,7.53,Spring 2012,Sunrise,"Action, Game, Sci-Fi, Romance, School"
7674,Bakuman.,Bakuman.,https://myanimelist.cdn-dena.com/images/anime/6/26138.jpg,TV,Manga,PG-13 - Teens 13 or older,8.32,Fall 2010,J.C.Staff,"Comedy, Drama, Romance, Shounen"
1698,Nodame Cantabile,Nodame Cantabile,https://myanimelist.cdn-dena.com/images/anime/9/11986.jpg,TV,Manga,PG-13 - Teens 13 or older,8.41,Winter 2007,J.C.Staff,"Music, Slice of Life, Comedy, Drama, Romance, Josei"
14713,Kamisama Hajimemashita,Kamisama Kiss,https://myanimelist.cdn-dena.com/images/anime/3/85429.jpg,TV,Manga,PG-13 - Teens 13 or older,8.14,Fall 2012,TMS Entertainment,"Comedy, Demons, Supernatural, Romance, Fantasy, Shoujo"
232,Cardcaptor Sakura,Cardcaptor Sakura,https://myanimelist.cdn-dena.com/images/anime/8/60781.jpg,TV,Manga,PG - Children,8.21,Spring 1998,Madhouse,"Adventure, Comedy, Drama, Magic, Romance, Fantasy, School, Shoujo"
233,Daa! Daa! Daa!,,https://myanimelist.cdn-dena.com/images/anime/3/21166.jpg,TV,Manga,G - All Ages,7.78,Spring 2000,J.C.Staff,"Comedy, Sci-Fi, Shoujo"
9656,Kimi ni Todoke 2nd Season,Kimi ni Todoke: From Me To You 2,https://myanimelist.cdn-dena.com/images/anime/8/27174.jpg,TV,Manga,PG-13 - Teens 13 or older,8.12,Winter 2011,Production I.G,"Slice of Life, Drama, Romance, School, Shoujo"
9926,Sekaiichi Hatsukoi,Sekai Ichi Hatsukoi - World's Greatest First Love,https://myanimelist.cdn-dena.com/images/anime/6/29763.jpg,TV,Manga,PG-13 - Teens 13 or older,8.07,Spring 2011,Studio Deen,"Comedy, Drama, Romance, Shounen Ai"
2564,Code-E,,https://myanimelist.cdn-dena.com/images/anime/10/57435.jpg,TV,Original,G - All Ages,6.49,Summer 2007,Studio Deen,"Comedy, Romance, School, Sci-Fi, Slice of Life"
3092,Junjou Romantica,Junjo Romantica,https://myanimelist.cdn-dena.com/images/anime/7/8811.jpg,TV,Manga,PG-13 - Teens 13 or older,7.99,Spring 2008,Studio Deen,"Comedy, Drama, Romance, Shounen Ai"
1579,Kiniro no Corda: Primo Passo,La corda d'oro: primo passo,https://myanimelist.cdn-dena.com/images/anime/9/7228.jpg,TV,Visual novel,PG-13 - Teens 13 or older,7.63,Fall 2006,Yumeta Company,"Comedy, Drama, Harem, Magic, Music, Romance, School, Shoujo"
32370,D.Gray-man Hallow,D.Gray-man HALLOW,https://myanimelist.cdn-dena.com/images/anime/12/80766.jpg,TV,Manga,R - 17+ (violence & profanity),7.92,Summer 2016,TMS Entertainment,"Action, Adventure, Super Power, Demons, Shounen"
11547,Sengoku☆Paradise Kiwami,,https://myanimelist.cdn-dena.com/images/anime/11/39031.jpg,TV,Unknown,PG-13 - Teens 13 or older,6.2,Fall 2011,Milky Cartoon/LMD,"Action, Comedy, Drama, Historical, Romance, Samurai, Shoujo"
33185,Peace Maker Kurogane Movie 1: Omou Michi,,https://myanimelist.cdn-dena.com/images/anime/1379/91338.jpg,Movie,Manga,R - 17+ (violence & profanity),0,0,White Fox,"Action, Comedy, Historical, Samurai, Shounen"
7518,Boku wa Kuma,,https://myanimelist.cdn-dena.com/images/anime/3/18043.jpg,Music,Original,G - All Ages,5.79,0,0,"Kids, Music, Slice of Life"
16642,Ane Koi: Suki Kirai Daisuki.,,https://myanimelist.cdn-dena.com/images/anime/5/47029.jpg,OVA,Manga,Rx - Hentai,7.03,0,0,Hentai
7605,Parasol Henbei,,https://myanimelist.cdn-dena.com/images/anime/6/44704.jpg,TV,Unknown,PG - Children,6.39,Fall 1989,0,"Adventure, Comedy, Fantasy, Kids, Magic"
